
NIF, DIRECCIÓN CODIGO POSTAL CIUDAD PROVINCIA,https://www.google.com/maps/preview/place/Instituto+Nacional+de+Estad%C3%ADstica+(INE),+Av.+de+Manoteras,+50,+52,+Hortaleza,+28050+Madrid/@40.4867744,-3.6616797,3034a,13.1y/data\\u003d!4m2!3m1!1s0xd42288ea215c9dd:0x9bbb8d7576b4689f\
H05318506, ALFONS IV 55 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Alfons+IV,+55,+08402+Granollers,+Barcelona/@41.6041686,2.2882703,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c41a9b4197:0x908a020e4734d48e\
H61795290, ALGUER 32 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+l'Alguer,+32,+08401+Granollers,+Barcelona/@41.5973318,2.2845048,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7ea92b3f627:0xce1aaeb76d84a73a\
H62739750, ALIANÇA 5 08186 LLIÇA D'AMUNT BARCELONA,https://www.google.com/maps/preview/place/Carrer+l'Alian%C3%A7a,+5,+08186+Lli%C3%A7%C3%A0+d'Amunt,+Barcelona/@41.6110448,2.2406596,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7231c425025:0x8b15e25a4b277a5d\
H59634725, ALOS 16 08902 L'HOSPITALET DEL LLOBREGAT BARCELONA,https://www.google.com/maps/preview/place/Passatge+d'Al%C3%B2s,+08902+L'Hospitalet+de+Llobregat,+Barcelona/@41.3649603,2.118542,2994a,13.1y/data\\u003d!4m2!3m1!1s0x12a498e91a73d74f:0x74de7ca8627684a3\
H59507616, ANGEL GUIMERA 12 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+%C3%80ngel+Guimer%C3%A0,+12,+08402+Granollers,+Barcelona/@41.5995645,2.2888695,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c26b136649:0xaa6337050cd61530\
H67394775, ANNIBAL 16 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Ann%C3%ADbal,+16,+08401+Granollers,+Barcelona/@41.6069205,2.2852112,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c64ca37e5b:0xfc2b2c7fb466ba4f\
H67394775, ANNIBAL 18 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Ann%C3%ADbal,+18,+08401+Granollers,+Barcelona/@41.6068278,2.2852341,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c64ccc4185:0x10bd664b862212c\
H67394775, ANNIBAL 20 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Ann%C3%ADbal,+20,+08401+Granollers,+Barcelona/@41.6068662,2.2850773,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c7b3722df7:0x8a94f82261aabed3\
H59672444, ANNIBAL 46 48 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Ann%C3%ADbal,+46,+48,+08401+Granollers,+Barcelona/@41.6066565,2.2836061,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c797571f1b:0xf17f85722fb6897\
H66008699, ANNIBAL 49 51 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Ann%C3%ADbal,+49,+51,+08401+Granollers,+Barcelona/@41.6065455,2.2836812,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c79a319dab:0x90fc06ac054dbe0b\
